,type,subtype,ts,user,text,inviter,client_msg_id,team,user_team,source_team,user_profile,blocks,reactions,edited,files,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,replies,subscribed,parent_user_id,attachments
0,message,channel_join,1580588434.0002,UQA6D5YFR,<@UQA6D5YFR> has joined the channel,,,,,,,,,,,,,,,,,,,,,
1,message,channel_join,1580588595.0004,UNPEBLGE4,<@UNPEBLGE4> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
2,message,channel_join,1580588765.0006,USGB13WPM,<@USGB13WPM> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
3,message,channel_join,1580588765.0008,USX2C8VPY,<@USX2C8VPY> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
4,message,channel_join,1580588765.001,USH1ZT0GH,<@USH1ZT0GH> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
5,message,channel_join,1580588765.0012,USFHLC0V7,<@USFHLC0V7> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
6,message,channel_join,1580588765.0014,USTCX4WQP,<@USTCX4WQP> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
7,message,channel_join,1580588765.0016,UNWAV4K5J,<@UNWAV4K5J> has joined the channel,UQA6D5YFR,,,,,,,,,,,,,,,,,,,,
8,message,channel_join,1580589177.0018,USCN9R47L,<@USCN9R47L> has joined the channel,UNPEBLGE4,,,,,,,,,,,,,,,,,,,,
9,message,,1580589292.0023,UNPEBLGE4,Hi <!channel> we will start at 5PM,,b81ae1d6-e334-4a59-84b1-a15f33b66f52,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gace7a247a6d', 'image_72': 'https://secure.gravatar.com/avatar/ace7a247a6d95227d558d9e6b36b6c56.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0015-72.png', 'first_name': 'Moderator', 'real_name': 'Moderator', 'display_name': 'Moderator', 'team': 'TNRA2UMM5', 'name': 'viralpasad', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'ZtOHc', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hi '}, {'type': 'broadcast', 'range': 'channel'}, {'type': 'text', 'text': ' we will start at 5PM'}]}]}]",,,,,,,,,,,,,,
10,message,,1580594459.0044,UQA6D5YFR,Hi <!channel> Let’s start!,,f1d2ca01-dacc-45b9-93d6-beb084e239b0,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g9795d40e198', 'image_72': 'https://secure.gravatar.com/avatar/9795d40e198a49a2d20e527154027337.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0008-72.png', 'first_name': '', 'real_name': 'Moderator II', 'display_name': 'Moderator II', 'team': 'TNRA2UMM5', 'name': 'boyuan', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'xpXjm', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hi '}, {'type': 'broadcast', 'range': 'channel'}, {'type': 'text', 'text': ' Let’s start!'}]}]}]",,,,,,,,,,,,,,
11,message,,1580594468.0046,UQA6D5YFR,"Thank you for joining this conversation/chat room. Certain snippets from this conversation may be recorded for a short while before being safely discarded. However, no personal identifier will be associated with the data. When you are finished with the task, you shall be asked certain questions in the form an online survey. After that, you shall be compensated with the 10$ Amazon Gift Card within 5 business days.",,6a4adde6-f742-404f-a000-885ec3ba2136,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g9795d40e198', 'image_72': 'https://secure.gravatar.com/avatar/9795d40e198a49a2d20e527154027337.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0008-72.png', 'first_name': '', 'real_name': 'Moderator II', 'display_name': 'Moderator II', 'team': 'TNRA2UMM5', 'name': 'boyuan', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'bTCN', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Thank you for joining this conversation/chat room. Certain snippets from this conversation may be recorded for a short while before being safely discarded. However, no personal identifier will be associated with the data. When you are finished with the task, you shall be asked certain questions in the form an online survey. After that, you shall be compensated with the 10$ Amazon Gift Card within 5 business days.'}]}]}]","[{'name': '+1', 'users': ['UTEH79KGD', 'UTGD132FR', 'UT3C6THNV'], 'count': 3}]",,,,,,,,,,,,,
12,message,,1580594634.0051,UQA6D5YFR,"Please share with everybody at least 1 aspect you like and dislike about the town of Blacksburg. (eg Duckpond, TOTs, etc.) You may justify your pick and discuss it with others.
Does anyone have any questions or doubts?",,c1eb62eb-c32a-43ed-858e-5f95d94c49bb,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g9795d40e198', 'image_72': 'https://secure.gravatar.com/avatar/9795d40e198a49a2d20e527154027337.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0008-72.png', 'first_name': '', 'real_name': 'Moderator II', 'display_name': 'Moderator II', 'team': 'TNRA2UMM5', 'name': 'boyuan', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'OQBv', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Please share with everybody at least 1 aspect you like and dislike about the town of Blacksburg. (eg Duckpond, TOTs, etc.) You may justify your pick and discuss it with others.\nDoes anyone have any questions or doubts?'}]}]}]",,,,,,,,,,,,,,
13,message,,1580594667.0057,UT3C6THNV,No questions or doubts! :ok_hand::skin-tone-2:,,D8A64B20-3644-4FFC-A228-C40A87DD01A5,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'gbcac882e2e8', 'image_72': 'https://secure.gravatar.com/avatar/bcac882e2e847a8b6e5f3c07b3a17220.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0011-72.png', 'first_name': 'Linda', 'real_name': 'Linda', 'display_name': '', 'team': 'TNRA2UMM5', 'name': 'ssun83', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'v331H', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'No questions or doubts! '}, {'type': 'emoji', 'name': 'ok_hand', 'skin_tone': 2}]}]}]","[{'name': '+1', 'users': ['UTGD132FR'], 'count': 1}]",,,,,,,,,,,,,
14,message,,1580594681.0067,USGB13WPM,Same here,,4fe5aede-79e6-4f90-9748-129f19d31f68,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g45734e5a56e', 'image_72': 'https://secure.gravatar.com/avatar/45734e5a56ea459db583562159a1df65.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0017-72.png', 'first_name': 'Mark', 'real_name': 'Mark Balfour Manuel', 'display_name': 'Mark', 'team': 'TNRA2UMM5', 'name': 'markbalf', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'rdUA', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Same here'}]}]}]",,,,,,,,,,,,,,
15,message,,1580594684.0069,UQA6D5YFR,You may start now and let me know when you’re finished,,677d226f-afd4-41e4-b6cd-3e3c6210d537,TNRA2UMM5,TNRA2UMM5,TNRA2UMM5,"{'avatar_hash': 'g9795d40e198', 'image_72': 'https://secure.gravatar.com/avatar/9795d40e198a49a2d20e527154027337.jpg?s=72&d=https%3A%2F%2Fa.slack-edge.com%2Fdf10d%2Fimg%2Favatars%2Fava_0008-72.png', 'first_name': '', 'real_name': 'Moderator II', 'display_name': 'Moderator II', 'team': 'TNRA2UMM5', 'name': 'boyuan', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'XoS9', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'You may start now and let me know when you’re finished'}]}]}]",,,,,,,,,,,,,,
