study-index,user,Unnamed: 0,attachments,blocks,client_msg_id,display_as_bot,edited,files,inviter,latest_reply,parent_user_id,reactions,replies,reply_count,reply_users,reply_users_count,source_team,subscribed,subtype,team,text,thread_ts,ts,type,upload,user_profile,user_team
4,UNPEBLGE4,23,2,0,22,0,0,0,0,0,0,5,0,0,0,0,22,0,1,22,23,0,23,23,0,22,22
4,UQ2RLT06P,30,0,0,29,0,0,0,1,0,0,3,0,0,0,0,29,0,1,29,30,0,30,30,0,29,29
4,UQ6ACT40H,51,1,0,50,1,0,1,1,0,0,10,0,0,0,0,49,0,1,49,50,0,51,51,1,49,49
4,UQ6CWJU1X,22,0,0,21,0,0,0,1,0,0,1,0,0,0,0,21,0,1,21,22,0,22,22,0,21,21
4,UQA6D5YFR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
4,UQDPTDNKW,22,0,0,21,0,0,0,1,0,0,3,0,0,0,0,21,0,1,21,22,0,22,22,0,21,21
4,UQEAMPU80,77,0,0,76,0,0,0,1,0,0,6,0,0,0,0,76,0,1,76,77,0,77,77,0,76,76
4,UQEAN2PA9,29,1,0,28,0,0,0,1,0,0,5,0,0,0,0,28,0,1,28,29,0,29,29,0,28,28
4,UQEBATVUY,24,0,0,23,0,0,0,1,0,0,1,0,0,0,0,23,0,1,23,24,0,24,24,0,23,23
4,UQEC7USN9,40,0,0,39,0,0,0,1,0,0,2,0,0,0,0,39,0,1,39,40,0,40,40,0,39,39
4,UQECP3ZL5,10,0,0,9,0,0,0,1,0,0,1,0,0,0,0,9,0,1,9,10,0,10,10,0,9,9
4,UQGHE5U0N,25,0,0,24,0,0,0,1,0,0,3,0,0,0,0,24,0,1,24,25,0,25,25,0,24,24
5,UNPEBLGE4,20,1,0,19,0,0,0,0,0,0,4,0,0,0,0,19,0,1,19,20,0,20,20,0,19,19
5,UQA6D5YFR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
5,UQKJLCEP7,38,0,0,37,0,0,0,1,1,0,2,1,1,1,1,37,1,1,37,38,1,38,38,0,37,37
5,UQL2H45EY,56,0,0,55,0,0,0,1,0,0,3,0,0,0,0,55,0,1,55,56,0,56,56,0,55,55
5,UQLJ5NYBA,35,0,0,34,0,0,0,1,0,0,3,0,0,0,0,34,0,1,34,35,0,35,35,0,34,34
5,UQND1SNPR,41,1,0,40,0,2,0,1,0,1,4,0,0,0,0,40,0,1,40,41,1,41,41,0,40,40
5,UQNDN8DFZ,55,0,0,54,0,0,0,1,0,0,5,0,0,0,0,54,0,1,54,55,0,55,55,0,54,54
